Data,Hora,MachineID,FieldID,LatUTM(m),LongUTM(m),Lat(º),Long(º),Speed (m/s),GPS Status,PopSeed(Plant/ha),FertRt(kg/ha),FertWgt(kg),Mean Op Cap(ha/h),Instantanea OpCap(ha/h),Time Operation,Area(ha),Row Spacing(m),Holes, seed_germ (%), SeedByM, FertByM, Seed Mode, Fert Mode
,,M-1,F-2,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.00049,0.0,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,10:53:55,M-1,F-2,721514.127207178,7701616.032279084,-20.772091666666668,-42.87218,1.0,A,50000.0,0,24.4,1215.805,2857.143,0.00329,4.0,0.75,28,95,3.9,0.0,MAP,OFF
29/01/19,10:53:59,M-1,F-2,721515.0942246153,7701616.960882321,-20.77208316666667,-42.872170833333335,1.0,A,60000.0,0,24.2,1970.443,2857.143,0.00609,12.0,0.75,28,95,4.7,0.0,MAP,OFF
29/01/19,10:54:03,M-1,F-2,721515.307611073,7701617.345683434,-20.772079666666666,-42.87216883333333,1.0,A,60000.0,0,24.3,2249.719,2857.143,0.00889,20.0,0.75,28,95,4.7,0.0,MAP,OFF
29/01/19,10:54:07,M-1,F-2,721514.9433646979,7701617.36894089,-20.7720795,-42.87217233333333,1.0,A,60000.0,0,24.2,2395.21,2857.143,0.01169,28.0,0.75,28,95,4.7,0.0,MAP,OFF
29/01/19,10:54:11,M-1,F-2,721514.505314569,7701617.060931207,-20.772082333333334,-42.8721765,1.0,A,60000.0,0,24.3,2484.472,2857.143,0.01449,36.0,0.75,28,95,4.7,0.0,MAP,OFF
29/01/19,10:54:15,M-1,F-2,721514.4679263413,7701616.858388534,-20.772084166666666,-42.872176833333334,1.0,A,50000.0,0,24.5,2544.824,2857.143,0.01729,44.0,0.75,28,95,3.9,0.0,MAP,OFF
29/01/19,10:57:58,M-1,F-2,721505.5295894609,7701615.684123877,-20.772095833333335,-42.8722625,0.0,A,0,0,24.7,2270.0,0.0,0.02,45.4,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,10:58:02,M-1,F-2,721505.8038914093,7701615.422100935,-20.772098166666666,-42.87225983333333,1.0,A,0,0,24.7,2530.0,2857.143,0.02,50.6,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,10:58:06,M-1,F-2,721506.2009056812,7701615.250749849,-20.772099666666666,-42.872256,1.0,A,0,0,24.7,2910.0,2857.143,0.02,58.2,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,10:58:10,M-1,F-2,721506.4788551263,7701615.265545189,-20.7720995,-42.87225333333333,1.0,A,40000.0,0,24.6,3310.0,2857.143,0.02,66.2,0.75,28,95,3.2,0.0,MAP,OFF
29/01/19,10:58:14,M-1,F-2,721506.6184377682,7701615.319079242,-20.772099,-42.872252,1.0,A,40000.0,0,24.6,3710.0,2857.143,0.02,74.2,0.75,28,95,3.2,0.0,MAP,OFF
29/01/19,10:58:18,M-1,F-2,721506.6343354045,7701615.208123222,-20.772100000000002,-42.87225183333334,1.0,A,40000.0,0,24.5,4110.0,2857.143,0.02,82.2,0.75,28,95,3.2,0.0,MAP,OFF
29/01/19,10:58:22,M-1,F-2,721506.6844599891,7701615.059800694,-20.77210133333333,-42.87225133333333,1.0,A,40000.0,0,24.6,4510.0,2857.143,0.02,90.2,0.75,28,95,3.2,0.0,MAP,OFF
29/01/19,11:03:54,M-1,F-2,721505.0227830271,7701612.792933954,-20.772122,-42.872267,0.0,A,0,0,24.7,4590.0,0.0,0.02,91.8,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,11:03:58,M-1,F-2,721504.8497029629,7701612.832130055,-20.772121666666667,-42.87226866666666,1.0,A,0,0,24.7,4680.0,2857.143,0.02,93.6,0.75,28,95,0.0,0.0,FIX,OFF
29/01/19,11:04:02,M-1,F-2,721504.5768600428,7701613.204880302,-20.772118333333335,-42.87227133333333,1.0,A,15000,0,24.7,5080.0,2857.143,0.02,101.6,0.75,28,95,1.0,0.0,FIX,OFF
29/01/19,11:04:06,M-1,F-2,721504.4440860609,7701613.6680737175,-20.772114166666668,-42.87227266666667,1.0,A,40000,100,24.8,5480.0,2857.143,0.02,109.6,0.75,28,95,2.4,0.0,FIX,OFF
29/01/19,11:04:10,M-1,F-2,721504.1428521281,7701614.521099728,-20.7721065,-42.87227566666667,1.0,A,80000,0,24.5,5880.0,2857.143,0.02,117.6,0.75,28,95,6.3,0.0,FIX,OFF
29/01/19,11:04:14,M-1,F-2,721503.8374843601,7701615.060398331,-20.772101666666668,-42.872278666666666,1.0,A,90000,0,23.6,6280.0,2857.143,0.02,125.6,0.75,28,95,7.1,0.0,FIX,OFF
29/01/19,11:04:18,M-1,F-2,721503.4651216443,7701615.785157246,-20.772095166666666,-42.87228233333333,1.0,A,120000,0,23.4,6680.0,2857.143,0.02,133.6,0.75,28,95,9.5,0.0,FIX,OFF
29/01/19,11:04:22,M-1,F-2,721503.1597538287,7701616.324455833,-20.772090333333335,-42.87228533333333,1.0,A,60000,0,24.1,7080.0,2857.143,0.02,141.6,0.75,28,95,4.7,0.0,FIX,OFF
29/01/19,11:04:26,M-1,F-2,721503.0729706129,7701616.325599318,-20.772090333333335,-42.87228616666667,1.0,A,0,0,23.8,7480.0,2857.143,0.02,149.6,0.75,28,95,0.0,0.0,OFF,OFF
29/01/19,11:04:30,M-1,F-2,721503.3287001435,7701615.971532354,-20.7720935,-42.87228366666667,1.0,A,0,300,24.8,7880.0,2857.143,0.02,157.6,0.75,28,95,0.0,0.022,OFF,FIX
30/01/19,8:43:03,M-1,F-2,721497.7606561709,7701612.353346808,-20.772126833333335,-42.87233666666667,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:09,M-1,F-2,721501.3595261842,7701616.717331313,-20.772087,-42.87230266666667,0.0,A,0,0,24.8,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:13,M-1,F-2,721501.5685353911,7701616.769950623,-20.7720865,-42.87230066666667,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:17,M-1,F-2,721501.7961170541,7701616.914613999,-20.772085166666667,-42.8722985,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:21,M-1,F-2,721502.1791790281,7701617.00185545,-20.772084333333332,-42.872294833333335,0.0,A,0,0,24.8,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:25,M-1,F-2,721502.5448843623,7701617.089325586,-20.7720835,-42.87229133333334,0.0,A,0,0,24.6,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:29,M-1,F-2,721502.7199097808,7701617.197765935,-20.7720825,-42.87228966666667,0.0,A,0,0,24.6,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:44:33,M-1,F-2,721502.7182076381,7701617.068584066,-20.772083666666667,-42.87228966666667,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:48:18,M-1,F-2,721505.612027891,7701611.4008379765,-20.7721345,-42.87226116666667,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
30/01/19,8:49:11,M-1,F-2,721503.5585949548,7701611.021824331,-20.772138166666668,-42.872280833333335,0.0,A,0,0,24.7,8230.0,0.0,0.02,164.6,0.75,28,95,0.0,0.0,OFF,OFF
