LogID,Log_Bt,Date,Time (UTC),MachineID,FieldID,LatUTM(m),LongUTM(m),Lat(º),Long(º),Speed (m/s),GPS PDOP ,PopSeed(Plant/ha),FertRt(kg/ha),FertWgt(kg),Mean Op Cap(m2/h),Time Operation (h),Area(m2),Row Spacing(m),Holes, seed_germ (%), SeedByM, FertByM, Seed Mode, Fert Mode,Remote Status,Duty Seed, Calc Rot Seed, Real Rot Seed
1,0,25/05/19,12:04:52,M0,F0,724676.0568139805,7704372.243570482,-20.746825666666666,-42.84217666666667,0,1.31,0,0.0,0.1,0.0,0.0,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
2,0,25/05/19,12:04:53,M0,F0,724676.039454189,7704372.243802191,-20.746825666666666,-42.84217683333333,0,1.31,0,0.0,0.1,0.0,0.00028,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
3,0,25/05/19,12:04:54,M0,F0,724676.0397005134,7704372.262256971,-20.7468255,-42.84217683333333,0,1.31,0,0.0,0.1,0.0,0.00056,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
4,0,25/05/19,12:04:55,M0,F0,724676.039454189,7704372.243802191,-20.746825666666666,-42.84217683333333,0,1.31,0,0.0,0.1,0.0,0.00084,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
5,0,25/05/19,12:04:56,M0,F0,724676.0397005134,7704372.262256971,-20.7468255,-42.84217683333333,0,1.31,0,0.0,0.1,0.0,0.00112,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
6,0,25/05/19,12:04:57,M0,F0,724676.0220943969,7704372.244033899,-20.746825666666666,-42.842177,0,1.31,0,0.0,0.1,0.0,0.0014,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
7,0,25/05/19,12:04:58,M0,F0,724676.0047346054,7704372.2442656085,-20.746825666666666,-42.842177166666666,0,1.31,0,0.0,0.1,0.0,0.00168,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
8,0,25/05/19,12:04:59,M0,F0,724675.9529015541,7704372.263415515,-20.7468255,-42.842177666666664,0,1.31,0,0.0,0.1,0.0,0.00196,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
9,0,25/05/19,12:05:00,M0,F0,724675.9355417625,7704372.263647225,-20.7468255,-42.84217783333333,0,1.31,0,0.0,0.1,0.0,0.00224,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
10,0,25/05/19,12:05:01,M0,F0,724675.9181819704,7704372.263878933,-20.7468255,-42.842178,0,1.31,0,0.0,0.1,0.0,0.00252,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
11,0,25/05/19,12:05:02,M0,F0,724675.8834623862,7704372.264342351,-20.7468255,-42.84217833333334,0,1.31,0,0.0,0.1,0.0,0.0028,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
12,0,25/05/19,12:05:03,M0,F0,724675.8834623862,7704372.264342351,-20.7468255,-42.84217833333334,0,1.31,0,0.0,0.1,0.0,0.00308,0.0,0.75,28,90,0.0,0.0,OFF,OFF,OFF,0.0,0.0,0
13,0,25/05/19,12:05:04,M0,F0,724675.8837087103,7704372.28279713,-20.746825333333334,-42.84217833333334,0,1.31,40000,0.0,0.1,0.0,0.00336,0.0,0.75,28,90,0.0,0.0,FIX,OFF,OFF,0.0,0.0,0
14,0,25/05/19,12:05:05,M0,F0,724675.8837087103,7704372.28279713,-20.746825333333334,-42.84217833333334,0,1.31,40000,0.0,0.1,0.0,0.00364,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
15,0,25/05/19,12:05:06,M0,F0,724675.8837087103,7704372.28279713,-20.746825333333334,-42.84217833333334,0,1.31,40000,0.0,0.1,0.0,0.00392,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
16,0,25/05/19,12:05:07,M0,F0,724675.8834623862,7704372.264342351,-20.7468255,-42.84217833333334,0,1.31,40000,0.0,0.1,0.0,0.0042,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
17,0,25/05/19,12:05:08,M0,F0,724675.9005758547,7704372.245655863,-20.746825666666666,-42.84217816666666,0,1.31,40000,0.0,0.1,0.0,0.00448,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
18,0,25/05/19,12:05:09,M0,F0,724675.917689322,7704372.226969374,-20.746825833333332,-42.842178,0,1.31,40000,0.0,0.1,0.0,0.00476,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
19,0,25/05/19,12:05:10,M0,F0,724675.9348027898,7704372.208282886,-20.746826,-42.84217783333333,0,1.31,40000,0.0,0.1,0.0,0.00504,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
20,0,25/05/19,12:05:11,M0,F0,724675.9516699328,7704372.171141617,-20.746826333333335,-42.842177666666664,0,1.31,40000,0.0,0.1,0.0,0.00532,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
21,0,25/05/19,12:05:12,M0,F0,724675.9687834006,7704372.152455129,-20.7468265,-42.8421775,0,1.31,40000,0.0,0.1,0.0,0.0056,0.0,0.75,28,90,3.3,0.0,FIX,OFF,OFF,0.0,0.0,0
