LogID;Log_Bt;Date;Time (UTC);MachineID;FieldID;LatUTM(m);LongUTM(m);Lat(º);Long(º);Speed (m/s);GPS PDOP ;PopSeed(Plant/ha);FertRt(kg/ha);FertWgt(kg);Mean Op Cap(m2/h);Time Operation (h);Area(m2);Row Spacing(m);Holes; seed_germ (%); SeedByM; FertByM; Seed Mode; Fert Mode;Remote Status;Duty Seed; Calc Rot Seed; Real Rot Seed
1;0;25/05/2019;12:04:52;M0;F0;724676.0568;7704372.244;-20.74682567;-42.84217667;0;1.31;0;0;0.1;0;0;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
2;0;25/05/2019;12:04:53;M0;F0;724676.0395;7704372.244;-20.74682567;-42.84217683;0;1.31;0;0;0.1;0;0.00028;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
3;0;25/05/2019;12:04:54;M0;F0;724676.0397;7704372.262;-20.7468255;-42.84217683;0;1.31;0;0;0.1;0;0.00056;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
4;0;25/05/2019;12:04:55;M0;F0;724676.0395;7704372.244;-20.74682567;-42.84217683;0;1.31;0;0;0.1;0;0.00084;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
5;0;25/05/2019;12:04:56;M0;F0;724676.0397;7704372.262;-20.7468255;-42.84217683;0;1.31;0;0;0.1;0;0.00112;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
6;0;25/05/2019;12:04:57;M0;F0;724676.0221;7704372.244;-20.74682567;-42.842177;0;1.31;0;0;0.1;0;0.0014;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
7;0;25/05/2019;12:04:58;M0;F0;724676.0047;7704372.244;-20.74682567;-42.84217717;0;1.31;0;0;0.1;0;0.00168;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
8;0;25/05/2019;12:04:59;M0;F0;724675.9529;7704372.263;-20.7468255;-42.84217767;0;1.31;0;0;0.1;0;0.00196;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
9;0;25/05/2019;12:05:00;M0;F0;724675.9355;7704372.264;-20.7468255;-42.84217783;0;1.31;0;0;0.1;0;0.00224;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
10;0;25/05/2019;12:05:01;M0;F0;724675.9182;7704372.264;-20.7468255;-42.842178;0;1.31;0;0;0.1;0;0.00252;0;0.75;28;90;0;0;OFF;OFF;OFF;0;0;0
